,Species,eBird Link,Info
181,Tricolored Munia,/species/trimun/IN-PB-SH,"Small, finchlike bird of weedy and grassy areas in tropical lowlands. Often in small flocks, which associate readily with seedeaters and grassquits. Adult is handsome and striking with rusty upperparts. Black head and underparts are cut by a broad white swath from flanks across the lower breast. Note stout gray bill. Juvenile notably plain, buffy brown overall with stout bluish-gray bill. Note the pointed tail, unlike seedeaters and grassquits. Native to Asia and spreading in New World as an escaped cage bird."
182,Yellow-throated Sparrow,/species/chspet1/IN-PB-SH,"A small, drab, unstreaked sparrow with one, sometimes two prominent white wingbars. Gray-brown above, pale brown to whitish on underparts. Male has an indistinct eyebrow, an inconspicuous pale yellow spot on throat, and light chestnut on shoulders. Juvenile resembles female. The familiar call is a distinctive “chilp” that it gives mostly while perching high. Inhabits light forests, scrub jungles, villages, and cultivated areas."
183,Common Hawk-Cuckoo,/species/cohcuc1/IN-PB-SH,"A medium-sized bird that resembles a Shikra in plumage. Males have ashy-gray upperparts, white underparts with rufous streaking and barring, a broadly barred tail, and a distinct yellow eye rim. Females and juveniles are browner with bolder streaking below. During their breeding season males produce a loud, repetitive three note call. Common Hawk-Cuckoos feed mainly on insects and are specialised feeders that can handle hairy caterpillars. The species is arboreal and rarely descends to the ground. Mainly a brood parasite of babblers. Found in gardens, groves, and deciduous and semi-evergreen forests."
184,Crested Serpent-Eagle,/species/crseag1/IN-PB-SH,"A rather large, heavily built eagle with a dark, white-tipped bushy crest that gives it a distinctive large-headed look. When raised in alarm, the crest frames the whole face, highlighting the bare yellow lores and eyes, making the head look larger and fiercer. The rufous-brown underparts have neatly arranged dark-edged bold white spots. In flight, shows broad rounded wings with a wide black trailing edge. Juvenile predominantly white with dark streaks below; also note dark mask. Commonly seen perched upright in well-wooded areas, with wingtips nearly covering the broad white sub-terminal band on the tail. Its 1-3 note scream is often heard in the forest."
185,Yellow-crowned Woodpecker,/species/yecwoo1/IN-PB-SH,"Medium-sized woodpecker with a densely-spotted black-and-white back and blotchy brown-and-white underparts. Female has an all-golden crown; male has a red forecrown. Where it overlaps with Brown-fronted Woodpecker, note blotchier brown striping on the underparts, pale vent, and duller crown. Gives sharp notes and a high descending rattle. Favors dry arid areas with relatively open foliage."
186,Small Minivet,/species/smamin1/IN-PB-SH,"The smallest of the minivets. Males have slaty gray crown, cheeks, and back. Throat and wings black, tail black with pale yellow edges. Breast orange, gradually fading into yellowish-white underparts. Black wings show a patch of orange. Female is duller than male, with light gray upperparts, cheeks and crown; dark gray wings; white throat; and light yellow underparts. Both males and females show an orange rump. Usually seen in small flocks, frequently uttering high-pitched “swee swee” call as they continuously move around feeding on insects, sometimes catching them mid-air like flycatchers. Inhabits various forested habitats, especially thorny jungles, scrub patches, and open dry forest."
187,Black-headed Cuckooshrike,/species/bkhcus1/IN-PB-SH,"Male has dark slaty-gray head, neck, and upper breast; rest of the body is pale gray, with white on the belly. Wings darker than mantle. Female lacks the black hood, and has a whitish supercilium, brownish-gray upperparts with lightly barred back and rump, and buff-white underparts with wide brown bars. Juvenile is similar to female, but upperparts barred white. Immature similar to female. Song is a series of clear, loud whistles: “pee-pe-pe-pe-pe-twe-twee.” Some notes can be omitted, or additional notes added."
188,Thick-billed Flowerpecker,/species/thbflo1/IN-PB-SH,"Dull gray-brown flowerpecker with streaked white underparts. Unremarkable; bill isn’t all that noticeably thick, but combination of pale vent, striped throat, and (in some subspecies) strongly streaked underparts serve to identify this wide-ranging and variable species. Like many other flowerpeckers, often associated with mistletoe, but can be found in a variety of forest types and elevations. Often heard giving a hard, slightly wet “tsip!”"
189,Red Collared-Dove,/species/recdov1/IN-PB-SH,"Medium-sized dove of open spaces with trees and bushes. Male is red with a bluish-gray head and female is brown overall. Both sexes have a dark collar. Female may be confused with other collared-doves, but is smaller with a shorter tail. Often forages in pairs, but may congregate in large flocks, particularly in agricultural fields where seeds have been spilled. Song is a hoarse and muffled-sounding series of three or four hoots."
190,Brahminy Starling,/species/brasta1/IN-PB-SH,"A small fawn-colored starling with a long wispy crest that usually lies limp over the back of its head, but the feathers on its cheek and upper breast stand up and away from its cheek. Its upperparts are gray and the dark tail is tipped in white. Note the yellow bill with a blue base. Often seen in small family groups, feeding on fruits and nectar as well as insects on the ground or in the trees. They have a wide repertoire of calls and are also given to mimicking other species."
191,Barred Buttonquail,/species/barbut1/IN-PB-SH,"Tiny rotund, short-tailed bird, scarcely larger than a sparrow; like a diminutive partridge or quail but only distantly related. Brown with scaly streaking above, extensive black barring on the chest (more extensive on the female), and rich tawny flanks. Extremely difficult to detect, moving about invisibly in dense weedy vegetation in fields, forest edges, and farmland. Flying birds have whirring flight, show contrast between dark flight feathers and paler coverts. Courting females give sonorous, booming calls from dense vegetation."
192,Streaked Weaver,/species/strwea2/IN-PB-SH,"Male in breeding plumage has a golden-yellow cap covering the forehead and crown, and a blackish face and throat. Dark brown above with rusty edges to feathers, and buffy white below with longitudinal dark streaks on the flanks and upper breast. Non-breeding males, females, and juveniles more similar to other weavers; they have a yellowish buff eye-brow that extends down around the back of the face, streaky flanks, and dark brown upperparts with long streaks on the back. More partial to water than Baya Weaver, nesting around reedbeds in wetlands. Noisy near breeding colonies. Males make a continuous chirpy “cheer” or “teaur” call, not as loud as Baya Weaver’s."
193,Indian Cuckoo,/species/indcuc1/IN-PB-SH,"Sleek and slender gray-and-white cuckoo. Loud, far-carrying song is unique: four hooting notes, often likened to “onemore-boh-tul!” or “crossword-puh-zuhl.” Adult is similar in size and coloration to Oriental, Himalayan, and Common Cuckoos, but note dark eyes and darker back and wings. Juvenile patchy-looking, often showing a whitish crown and collar and white edging to the wing feathers. Favors forests, forest edges, and parklands. Lays its eggs in the nests of a wide range of birds, including magpies, shrikes, and drongos."
194,Indian Pitta,/species/indpit1/IN-PB-SH,"A colorful stubby-tailed bird, also known as “Navrang,” translated as “nine colors.” Colors are most striking when the bird is in flight. This bird has long, strong legs and a stout bill, a buffy crown with a black stripe in the middle, a black eye-stripe, and and buffy underparts with bright red on the vent. Upperparts are green, with a blue shoulder patch. It is usually seen foraging on forest floors with thick undergrowth, catching insects in leaf litter. This bird is vocal, giving its characteristic two-noted whistle call at dusk and dawn."
195,Greater Painted-Snipe,/species/grpsni1/IN-PB-SH,"A medium-sized, stunningly plumaged shorebird of grassy fields and marshes. Both sexes have a bright white “comma” around the eye and white underparts that extend up in an arc above the shoulder. As in phalaropes, the male is much duller than the female. The female has a bright reddish-brown head and greenish-tinged back and wings; the more cryptically colored male has a light brown head and brown upperparts dappled with orange and tan spots, thus more similar to snipe. Displaying female gives a series of owl-like hoots."
196,Short-toed Snake-Eagle,/species/shteag1/IN-PB-SH,"Large, slightly ungainly raptor with long and very broad wings, a shortish tail, and a conspicuously big head. Pale belly and underwings contrast with the darker head in most adults, but juveniles have pale heads. All age groups have a tendency to look a bit disheveled. On perched birds look for the owl-like face and unfeathered legs. Hunts over open areas, spending lots of time hovering with rowing wingbeats into the wind."
197,Asian Openbill,/species/asiope1/IN-PB-SH,"A relatively small stork species with a grayish to white body and black wings and tail with a hint of gloss. The Asian Openbill gets its name from a distinctive gap in the dull grayish yellow bill. Note the pinkish legs. Asian Openbills inhabit wetland habitats including shallow marshes, flooded agricultural fields, and lakes. From a distance they could be confused with herons, but they can be clearly distinguished from herons by their feeding habits—wading slowly through shallow water. Soars frequently, often in large dense flocks; note extended neck, unlike retracted neck of herons and egrets."
198,Crested Bunting,/species/crebun1/IN-PB-SH,"Spiky upright crest distinguishes this large bunting from similar species. Male is glossy black with bright chestnut wings. Female is streaky dirt-brown with slightly duller wings. A hill specialist, often found on rocky, bushy hillsides and terraced fields. Generally in pairs or small flocks. Short song begins with a few buzzy notes and ends with mellow whistling. Call is hard “chik.”"
199,Red Junglefowl,/species/redjun/IN-PB-SH,"This “original chicken” is smaller than its domestic descendants, and is widespread throughout South and Southeast Asia; can also be found as an introduced species in many regions around the world (especially prevalent on many Pacific Islands, including Hawaii). In its introduced range and some areas of its native range it has interbred widely with feral and domestic chickens, producing intermediate hybrids. Many of these birds cannot be distinguished from genuine wild-type birds. Within native range calls are useful for ID: the wild male’s crowing is hoarse and choked off towards the end, unlike the loud, vibrant calls of the domestic rooster."
200,Common Iora,/species/comior1/IN-PB-SH,"Breeding adult males are black above and rich yellow below with white wingbars. In nonbreeding plumage the upperparts are greenish-yellow, but the wings are still black with white wingbars. The female is similar in appearance to a nonbreeding male. These birds are quite vocal and can produce a wide variety of calls. The most commonly heard is the whistle “twiii tuiii twiiii.” Apart from this, it utters variable “chirrs” and chattering. The song is a trilled “wheeeee-tee.” Common Iora are frequently seen in wooded areas, scrub, and cultivated lands."
201,Common Rosefinch,/species/comros/IN-PB-SH,"Medium-sized, dumpy finch with a stubby bill. Male are distinctive with a red head, breast, and rump, brown eye-mask, and white belly. The amount of red varies with age. Females and juveniles are a rather unprepossessing, uniform brown inviting confusion with female House Sparrows; note the two pale wingbars. Breeds at both low and high elevations in deciduous scrub, meadows, and marsh edges as well as clearings in forest. Far-carrying, whistled, typically 3-note song is memorable."
202,Glossy Ibis,/species/gloibi/IN-PB-SH,"Long, curved bill. Adults mostly dark with iridescent green and reddish tones. Very thin white border surrounding the dark facial skin. Dark eyes. Usually gregarious, it is found mainly in salty marshes and shallow wetlands. Unmistakable in most of its range, though American birds are best distinguished from White-faced Ibis by distribution and facial pattern."
203,Chestnut-tailed Starling,/species/chtsta2/IN-PB-SH,"Pale-headed starling with dark-tipped wings and an orangish belly and rump. Bill is distinctively colorful: blue with a yellow tip. Inhabits open forests and forest edge, as well as agricultural areas and village outskirts. Like other starlings, social and raucous, often flocking together while noisily churring and whistling. Frequently perches up on exposed perches such as snags and utility lines, but also forages extensively on the ground. Native to southern Asia; introduced to Taiwan."
204,Jungle Bush-Quail,/species/jubqua1/IN-PB-SH,"A small, plump terrestrial bird, roughly spherical in shape. Identified by its rusty throat and rusty-and-white eyebrow. Males have barred underparts while females have uniform pinkish cinnamon underparts. Found in dry stony scrub jungles and dry grasslands. Often seen in groups of 2–7 (but can occur in groups up to 20). Generally secretive until flushed when it suddenly bursts into flight, flying with weak whirring wingbeats low over the ground before quickly dropping into cover. Feeds on grass,seeds, and small insects."
205,White-capped Bunting,/species/chbbun1/IN-PB-SH,"Male’s elegant black-and-white facial pattern is unique. Female is plain, streaky brown all over with faint white eye-ring, a weak hint of the male’s facial pattern, and a small white spot on the “ears”. Breeds in rocky gullies, valleys, and hillsides at middle to upper elevations; winters at lower altitudes, in fields, scrubland, and open dry forest. Song is a series of twanging buzzy pulses: “TZI-TZI-TZI-TZI-TZI.”"
206,Tickell's Thrush,/species/ticthr1/IN-PB-SH,"Both sexes of this thrush are fairly uniformly-colored: the male is predominantly blue-gray and the female is warm brown with a slight buffy wash to the underparts. May be confused with Indian Blackbird in southwestern wintering range, but both sexes are paler and smaller than their respective counterparts of that species. Breeds in open forest and forest edge in hilly and submontane areas; winters in similar habitat at lower altitudes. Sings melodic warbling and buzzing phrases; also gives a short bubbly bursts of “chup” notes."
207,Pale Martin,/species/pasmar1/IN-PB-SH,"Small dull swallow, brown above and white below, with a sharp brown chest band. Nearly identical to Bank Swallow, with which it breeds sympatrically and overlaps on migration, but look for a slightly less well-defined lower border to the cheek patch and a slightly paler, more diffuse breast band. Voice also differs subtly, Pale gives primarily series of dry notes with a more trilling quality than Bank Swallow’s. Similarly picky in its nesting locales, limited only to sandy hillsides and banks, often near a water source."
208,Ruff,/species/ruff/IN-PB-SH,"A bizarre and unique shorebird. Medium-sized with fairly short, slightly drooped bill. Leg color varies from dull greenish to bright orange; bill can be entirely dark or mostly orange. Plumage highly variable, especially breeding males, which have fancy neck ruffs that can be black, white, buffy, reddish-brown, or any combination thereof. Females and nonbreeding birds can be confusing, usually plain grayish-brown overall, sometimes with blotchy markings on the neck and belly. Juveniles are bright buffy with neat scaly patterning on the upperparts. Flight often rather lazy, with deep floppy wingbeats; note white underwings, white sides to rump, and feet projecting well past tail. Males are much larger than females. Breeds in bogs and wet grassy meadows across northern Eurasia; winters mainly in Africa but also across India and Southeast Asia. Migrants occur in almost any wetland habitat, from reservoirs and fields to coastal mudflats. Feeds by probing and picking, often while in shallow water. Rare but regular vagrant to North America, usually single birds found among flocks of yellowlegs."
209,Eurasian Griffon,/species/eurgri1/IN-PB-SH,"Massive tricolored vulture with whitish head and neck, pale brown body, and contrasting dark flight feathers. Juveniles similar but with a pale brown rather than white neck ruff. Nests in colonies on cliff ledges; often seen in loose flocks soaring over valleys and mountainsides but always in search of updrafts and thermals. Still the commonest vulture over much of its breeding range. Some populations are resident while others are highly migratory."
210,Brown-headed Gull,/species/bnhgul1/IN-PB-SH,"The pale button eyes of this gull give it a somewhat fearsome appearance. Breeding adult’s head is the color of milk chocolate, lightening towards the bill. Non-breeding and first-winter birds have a dark ear patch and faint traces of the dark hood. All plumages may be confused with smaller Black-headed Gull, but note pale eyes and more extensive black on the primaries in all plumages. Breeds on high-altitude lakes on the Tibetan Plateau and winters on marshes, estuaries, lakes and rivers, most often in coastal areas."
211,Black-breasted Weaver,/species/benwea1/IN-PB-SH,"Male distinctive in breeding plumage, with extensive yellow forehead and black face, nape, and upper breast. Dark brown above with blackish streaks and dirty white below. Often the black on breast can be replaced with a pale throat, forming a black necklace, partial or complete, of variable width. Non-breeding males often show a much reduced breast band with dark patches on either side. Female and juvenile are brown and white, like females of other weavers, with a buffy eyebrow above a thin, dark eye-stripe. Nests communally. Breeding song is a series of low-pitched buzzes, not as loud as Baya Weaver’s. Mostly found close to water, near tall grass and reeds."
212,Gray-hooded Warbler,/species/gyhwar2/IN-PB-SH,"Delicately beautiful small warbler with a greenish back, lemon-yellow underparts, a cinder-gray head, and bright white eyebrow stripes. Somewhat similar to Yellow-bellied Warbler, but note yellow instead of white throat. Forages actively in the upper levels of broadleaf and mixed montane forest, often in open patches. Sometimes descends to lower elevations in the non-breeding season, often turning up in foothill forest edges and gardens. Song is a high-pitched “tchi-tchi-cheeseewee-cheeseewee.” Calls are high, thin double notes."
213,Blue-throated Barbet,/species/bltbar2/IN-PB-SH,"A common inhabitant of lowland and foothill tropical forests, where it sings brightly but often unseen from the canopy; listen for its repeated 3- or 4-syllabled ‘took-o-rrook!’ Tends to be more common in edge areas and degraded forests than other barbets. Bright green with a blue throat, a red-and-yellow crown, and a heavy, pale-based bill. Birds at the northern and western parts of this species’ range have a black brow, while southern birds don’t."
214,Yellow-bellied Fairy-Fantail,/species/yebfan1/IN-PB-SH,"An active little bird with a bright yellow belly and a pale-tipped fan-like tail. Most common in foothill and submontane broadleaf forests, where it forages energetically and acrobatically in the middle and lower levels, often with fulvettas, warblers, and other small passerines in mixed-species foraging flocks. Very similar in shape to fantails but much smaller, and actually more closely related to tits. Song is a series of high “tsit” notes interspersed with twitters and trills. Call is often repeated at length, akin to a song, but much simpler, a series of high “tsip” notes."
215,Tawny-bellied Babbler,/species/tabbab1/IN-PB-SH,"Bright orange-brown babbler, brighter-colored than any similar babblers. Stays away from dense mature forests, instead favoring forest edges, open woodlands, dense scrub, and grassy areas interspersed with trees. Song is a short series of moderately-spaced high sibilant whistles. Call repertoire ranges from high thin notes to noisy yapping."
216,Black-chinned Babbler,/species/blcbab2/IN-PB-SH,"Small buffy babbler with a black throat and lores. Social, often occurring in flocks with other species. Forages close to or on the ground in open forest, shrubby edge, and overgrown gardens and orchards. Song is a monotone or slightly ascending series of piping whistles. Calls include a sped-up version of the song and harsh churring."
217,Small Niltava,/species/smanil1/IN-PB-SH,"Size distinguishes this species from other niltavas; coloration is quite similar to Large Niltava, which is double the size. Male Small Niltava is bright blue with the brightest patches on the shoulder and forehead. Female is brown with a white eyering and a rufous tail and wingtips. Forages in the lower and middle levels of hilly and montane forests, usually singly. Listen for its distinctive song, a cleanly descending “wee-dee-dee.”"
218,Slaty-blue Flycatcher,/species/slbfly2/IN-PB-SH,"Male is unique dark gray-blue above with a white throat, thin black chinstrap, and white undersides and tail base (often flashed when in flight). Female is plainer, dark brown above and lighter tan brown below, with a rufous-tinged tail; weak contrast and overall dark coloration distinguish her from other brown female flycatchers. Breeds in high-altitude and foothill forests and descends downhill to winter in scrubby areas, often in second growth. Often forages close to the ground. Song consists of an endless series of high, whistled “chee-chee-wit!”, often given from a low, hidden perch. Also gives hard, resonant “tak” notes."
219,Tawny Pipit,/species/tawpip1/IN-PB-SH,"Large, slim, sandy-colored pipit with a long and broad eyebrow, a prominent dark area in front of the eye, sparsely streaked back and breast, and a long and pointed pinkish bill. Juveniles are more spotted and may recall other large pipits in wintering areas. Rather distinctive in its wagtail-like stance and foraging behavior. Usually found feeding on the ground in open habitats, sand dunes, dry grasslands, and gravel pits. Call is a harsh ""tschlip""."
220,Spotted Redshank,/species/spored/IN-PB-SH,"Elegant wader with a long fine bill and long reddish legs (dark on breeding adults). Striking breeding plumage dark overall. Nonbreeding plumage is paler and grayer than smaller and chunkier Common Redshank. In flight often appears dark overall with narrow white oval up middle of back. Breeds in arctic bogs and swamps; migrants occur in varied wetland habitats. Usually seen as singles or small groups, though will sometimes congregate in large flocks, especially on wintering grounds. Feeds mainly by wading in fairly deep water, probing and picking with its bill, at times swimming."
221,Long-billed Pipit,/species/lobpip1/IN-PB-SH,"A large, slender pipit with considerable variation across its range. African and South Asian birds average browner, warmer-colored, and more heavily streaked on the breast than the grayer-toned Middle Eastern subspecies. All subspecies possess a pale eyebrow, a long tail, and a relatively long bill. As with many other pipits, can be frustratingly difficult to identify in the field; habitat and voice are important clues. Prefers dry, open areas with clumps of vegetation and scattered rocks and boulders, typically on slopes. Calls include squeaky sparrow-like chirps and sweet two-noted whistles. Song doesn’t quite sound like a song: a sequence of plaintive whistles, two-noted chirps, and other call-like vocalizations strung together with pauses in between."
222,Great Crested Grebe,/species/grcgre1/IN-PB-SH,"Fairly common on lakes, reservoirs, and along larger rivers, mainly with bordering reeds where it builds a floating nest platform. In winter sometimes seen on inshore ocean waters (mainly in freezing weather). Breeding pairs are territorial, but flocks form in winter. Large, elegant, and long-necked grebe. Breeding plumage has beautiful tawny cheeks and black crests (often held flat). In nonbreeding plumage, face and neck bright white with dark line through eye."
223,Greater Spotted Eagle,/species/grseag1/IN-PB-SH,"Adults are large and quite uniform dark brown eagles with very broad wings and short tails. Single white ""comma"" mark at the wrist of the underwing. Similar to the Lesser Spotted Eagle, which is smaller, paler, and more contrasting. Juveniles are more boldly patterned with numerous prominent dirty white spots on the back and upper wings. More tied to forests than Lesser Spotted Eagle, but still near rivers and bogs. Frequents humanmade habitats more often in winter, such as lakes, rubbish dumps, and reservoirs."
224,Oriental Skylark,/species/orisky1/IN-PB-SH,"Chunky brown songbird with a weak crest, typically found on the ground in open fields and meadows. Darker above than below, with fine black streaking on the chest and light chestnut ear coverts with dark border. Very similar to Eurasian Skylark, with which it shares much of its range, but Oriental has buffy, not white, outer tail edges and trailing edge of wing. Breeding males “skylark,” singing a series of variable notes while hovering high above the territory."
225,Steppe Eagle,/species/steeag1/IN-PB-SH,"A large eagle with rich brown plumage, wide wings, and seven well-splayed “fingers” at the wingtip. Adults are entirely dark brown; juveniles and immatures at rest show a distinctive wide white band bordered with black on the wing. In flight, this transforms into a white traverse band on the underwing that forms the base of the primary and secondary feathers. Birds take about four years to attain adult plumage. Frequents open grasslands, deserts, scrub, wetlands, and mountains, and is a regular carcass feeder along with vultures."
226,Himalayan Rubythroat,/species/himrub1/IN-PB-SH,"Shy inhabitant of thickets and dense grassy areas from subalpine scrub to above treeline. Male is gunmetal gray with a white brow, bright orange throat, and a black patch extending from the face down to the breast. Very similar to the closely related Chinese Rubythroat, which has a white moustachial stripe. Chinese Rubythroat female averages browner than female Himalayan, but is best identified by range; Chinese breeds in central and south-central China, while Himalayan breeds along the Himalayas, in Xinjiang, and in Central Asia. Female Himalayan has a weaker eyebrow than female Siberian Rubythroat, and is darker overall."
227,Pied Kingfisher,/species/piekin1/IN-PB-SH,"Boldly marked black-and-white kingfisher with short, bushy crest and glossy all-dark bill. Superficially similar to Crested Kingfisher, but smaller, with a much more distinctly patterned head and breast and less erect crest. Frequently seen perched in pairs or small groups. Often hovers over water when seeking prey. Inhabits a wide range of waterside habitats, from lakes to estuaries to mangroves. Gives a variety of sharp notes, as well as dry trilling and rattling calls."
228,Scaly Thrush,/species/scathr8/IN-PB-SH,"Large thrush with black-edged golden “scaly” feathering. Distinctive in much of range, but a source of consternation in areas overlapping with closely related White’s Thrush; taxonomy and distinguishing characteristics still not completely resolved. Song is a disjointed series of halting ringing notes, often including harsher, buzzier elements; very different from whistles of White’s Thrush. Breeds in hill and montane forests and winters at lower altitudes in forests and forest edge."
229,Rufous-gorgeted Flycatcher,/species/rugfly1/IN-PB-SH,"A bold little flycatcher of mid- to high-altitude forests with a flashing black-and-white tail. Male is brown above with a black face, white eyebrow, and orange throat patch (gorget). The female is essentially a faded version of the male with a dark gray face and a pale, largely unnoticeable gorget. Usually perches at middle levels, sallying from its perch to catch flying insects. Often joins mixed-species feeding flocks."
230,Russet Sparrow,/species/russpa2/IN-PB-SH,"Well-attired small songbird typically associated with mid- to high-elevation farms, fields, and open forests throughout its range. Found in less intensively developed areas than House and Eurasian Tree Sparrows, sticking to villages and pastures and staying away from large city centers. Male has bright chestnut cap and back, whitish cheek, narrow black throat, and pale gray belly. Female brownish with broad streaks above, pale below, with white wingbars and broad tan supercilium."
231,Olive-backed Pipit,/species/olbpip/IN-PB-SH,"Small pipit with a greenish-brown back and heavily streaked breast and belly that is often seen in loose flocks or in pairs. Note the distinctive facial pattern: broad pale lines surrounding the eye and a dark ear patch. Prefers more forested areas than other pipits, though will also forage in fields and scrubby edges. Can be tolerant of human activity and is not uncommon in rural areas and city parks in parts of their range. Calls are high-pitched “tseep’s,” often with a buzzy quality. Song is a beautiful series of warbling trills, whistles, and rattles."
232,Brown Fish-Owl,/species/brfowl1/IN-PB-SH,"Huge bulky brown owl with a finely streaked breast, a plain face, and bright yellow eyes. Also note its dirty white “bib” and the heavy brow that gives it a moody demeanor. Inhabits waterside wooded areas from lowlands up into the mountains; feeds by dropping down into and wading around in creeks, lakes, and pools. Often gives deep echoing hoots, as well as various shrieks and higher-pitched hoots."
233,Blyth's Pipit,/species/blypip1/IN-PB-SH,"A mid-sized pipit with pale brown plumage and a fine, dark bill. Strong streaking on the head, mantle, and back contrasts strongly with the pale edges of the feathers. The face appears clean and the eyebrow appears to start behind the eye. The wings show distinct white bars and there are fine streaks on the breast. Extremely similar to Paddyfield and Richard’s Pipits, but slightly bigger than the former and smaller than the latter, and paler and more contrasting overall than either of them. Inhabits grassy fields. The song is a series of short, raspy notes. The call is a sharp, explosive “shpeeu,” sometimes followed by single-syllabled “chup” notes."
234,Alpine Swift,/species/alpswi1/IN-PB-SH,"Spectacular and distinctive large, dark brown swift with white belly and throat patch. Noticeably larger than Common Swift and Blyth’s Swift, but with slower wingbeats and a ""lazier"" and wider soaring flight. Breeds colonially in cliff faces, mountains, and larger buildings. Migratory in parts of its range. Call is an extremely shrill, chittering scream."
235,Tawny Eagle,/species/taweag1/IN-PB-SH,"A medium-large, highly variable eagle that can range in overall color from whitish or creamy dull rufous to grayish-brown, and rarely dark brown. It has a moderately long gape line that stops at the center of the eye and slit-shaped nostrils. Legs are short and heavily feathered, with baggy “trousers.” Juveniles are generally paler than adults, while older immatures can have a dark hood and pale body. Mostly a bird of plains and open scrub; rarely seen over water, and avoids forests. Overall not as heavy looking as the Steppe Eagle, and never has a rich brown color tone."
236,Black-headed Gull,/species/bkhgul/IN-PB-SH,"Fairly small gull, common and widespread across Eurasia. All plumages have big white blaze on leading edge of wing. Breeding adult has dark brown (not black) hood, red bill and legs; nonbreeding and immature have dark ear spot on white head, dark tip to red bill. Juvenile has mottled brownish back, which molts to pale gray by winter. Can be found in essentially any wet habitat, from duck ponds and farm fields to wild wetlands and seacoasts. Locally occurs in flocks of hundreds, sometimes thousands. Rare but regular vagrant to North America, especially in the northeast, where usually seen singly among flocks of Bonaparte’s or Ring-billed Gulls. Compared to nonbreeding Bonaparte’s, note Black-headed’s red bill, dark red legs, and more extensive black in underwings."
237,Small Pratincole,/species/smapra1/IN-PB-SH,"Small bird that resembles a combination of a dove, a swallow, and a plover. Soft gray-brown with a tan wash on the throat and black lores. Black-and-white wing pattern prominent in flight. Flight agile and erratic, resembling a bat or swallow; frequently flies in flocks at dusk. Favors rocky or sandy islands in rivers, but can also be found in marshes, estuaries, and lakesides. Distinguished from other pratincoles in range by smaller size and gray plumage. Calls are a high rolling “chirrit!”, reminiscent of terns."
238,Rosy Pipit,/species/rospip1/IN-PB-SH,"An elegant, well-marked pipit that breeds in montane regions,but descends down into meadows and agricultural fields in the winter. Breeding adult is unmistakable with a soft pink throat and breast. Nonbreeding adults and immature birds lack the pink breast, but have a thick creamy white brow and mustache stripe, as well as thick blotchy streaking on the breast. Buff-bellied and Red-throated Pipits are also strongly marked on the breast, but both have much weaker brow patterns than Rosy Pipit. Gives a squeaky “tseep!”. Sings repetitive high-pitched song from the ground and while in the air."
239,Eurasian Hobby,/species/eurhob/IN-PB-SH,"Streamlined long-winged falcon. Note gray upperparts with plain tail, boldly streaked underparts with rusty leggings and vent. Swift-like; flight more graceful and aerodynamic than Eurasian Kestrel. Compare with larger, stockier, shorter-tailed Peregrine Falcon. Favors open woodland, heathland, and farmland with stands of trees; often hunts over nearby water bodies and marshes. Hunts in the air, catching dragonflies, swallows, and other birds, which it sometimes eats on the wing."
240,Hair-crested Drongo,/species/hacdro1/IN-PB-SH,"A large and stocky black drongo with glimmering blue iridescence on the wings, breast, and neck. Note triangular tail with flaring tips that curl out sideways and a large, curved bill with which it crushes insects and probes for nectar. Long, thin, hair-like feathers on its forehead, present only in some subspecies, may be visible at close range. Birds in Java and Sulawesi have white eyes. Encountered singly or in small flocks; also joins foraging flocks with other species. Found in a wide range of forested habitats, where it often uses exposed perches. Calls include a varied jumble of various harsh screeches, nasal yelps, metallic sounds, and beeps."
241,Water Pipit,/species/watpip1/IN-PB-SH,"Breeding plumage grayish above with white eyebrow; breast pale pinkish, mostly unstreaked. Nonbreeding plumage grayish brown above, whitish below with dark streaks; averages smudgier and less well-marked than American Pipit. Sides of tail clean white; compare with dingy white of Rock Pipit in areas of overlap. Song is a long series of repeated high-pitched notes; essentially a slow trill. Call a high, lisping, slightly upslurred ""ssiip.” Breeds in mountains on barren, often rocky ground; winters in varied wetland habitats, from lakeshores to salt marshes."
242,Long-legged Buzzard,/species/lolbuz1/IN-PB-SH,"A large, long-winged buzzard which may recall a small eagle in size. Variable plumage with three color morphs. All have obvious dark carpal patches at the wrist of the wing. Juveniles lack the adult’s prominent black trailing edge to the wings. Often hunts from a prominent perch, or sits on the ground and scans for prey. A species of open steppe and desert country, sometimes in more wooded areas but always near big open spaces. Compare with similar Common and Upland Buzzards, as well as Rough-legged Hawk; note long-winged structure, size, and wings held in “V” in soaring flight."
243,Black Bittern,/species/blabit1/IN-PB-SH,"Medium-sized heron of forested and vegetated wetlands, ponds, and lakes. All ages and plumages have dark upperparts and orange, yellow, and reddish striping on the neck and breast. Female and immature average browner with weaker contrast than males. Typically hides and hunts in vegetation similar to other bitterns but occasionally perches visibly on trees and bushes."
244,Red-headed Bunting,/species/rehbun1/IN-PB-SH,"Large, stocky bunting with a long tail. Rusty-red head and yellow body easily identify the breeding male; non-breeding male has restricted red on the head and a streaky brown back. Female and juvenile are pale brown with streaked back and wings; these plumages can be nearly impossible to separate from Black-headed Bunting. Look out for Red-headed’s less extensive crown streaking, less “compact” appearance (longer-billed and longer-tailed), less yellow underparts, and colder back coloration. Breeds in open dry spaces with scattered bushes; winters in agricultural fields. Song starts out with a few dry, rasping notes, then turns into a more fluid-sounding jumble."
